meeting_id,title,expected_call_type,predicted_call_type,call_type_correct,expected_primary_theme,predicted_primary_theme,theme_correct,expected_primary_product,predicted_primary_product,product_correct,expected_high_risk,predicted_high_risk,risk_correct
01KQ03B0303900521BB089CA,Detect Outage - Remediation Plan Review,Internal,Internal,True,Incident & Reliability,Incident & Reliability,True,Detect,Detect,True,True,True,True
01KQ0C1280EDA4E70AAD7C35,Support Case #9279 - Summit Trust Billing Inquiry,Customer support,Customer support,True,Renewal & Commercial Risk,Renewal & Commercial Risk,True,Identity,Identity,True,False,False,True
01KQ0CAE7F064EC93F0540CA,Weekly Engineering Standup,Internal,Internal,True,Product Feedback & Roadmap,Product Feedback & Roadmap,True,Comply,Comply,True,False,False,True
01KQ0DFE299AC7A74E8022CA,Aegis / Redwood Clinical - ISO 27001 Preparation,External customer,External customer,True,Compliance & Audit,Compliance & Audit,True,Comply,Comply,True,False,False,True
01KQ0F8AFF3DA34FD4580008,Aegis / Cobalt Software - Q2 Planning,External customer,External customer,True,Renewal & Commercial Risk,Renewal & Commercial Risk,True,Detect,Comply,False,True,True,True
01KQ1267C6AA7D9B3125FEC8,SOC 2 Audit Preparation - Internal,Internal,Internal,True,Compliance & Audit,Compliance & Audit,True,Comply,Comply,True,True,True,True
01KQ1A6B7E81B06F4A13B60D,Support Case #6977 - Brightpath Commerce Slow Backup Performance,Customer support,Customer support,True,Incident & Reliability,Incident & Reliability,True,Protect,Protect,True,True,True,True
01KQ298F2846EFE59B0D70E2,Competitive Threat Assessment - Post Outage,Internal,Internal,True,Competitive & Market,Competitive & Market,True,Detect,Detect,True,True,True,True
01KQ2B4878EC7B3EE5547007,Aegis / Stratos Cloud - Audit Preparation,External customer,External customer,True,Compliance & Audit,Compliance & Audit,True,Comply,Comply,True,False,False,True
01KQ2D93184912F0147315E7,URGENT: Blackridge Investments - Complete Loss of Threat Visibility,Customer support,Customer support,True,Incident & Reliability,Incident & Reliability,True,Detect,Detect,True,True,True,True
01KQ31ED026F745FE2A55CCD,Identity Team - Q2 Roadmap,Internal,Internal,True,Identity & Access,Identity & Access,True,Identity,Identity,True,True,True,True
01KQ325BDEDEE927D2970775,Support Case #5889 - Ridgeline Logistics Detect Latency Issues,Customer support,Customer support,True,Incident & Reliability,Incident & Reliability,True,Detect,Detect,True,True,True,True
01KQ351E141926AB7CAB668D,Aegis / Northstar Pharma - Urgent: Detect Outage Impact,Customer support,Customer support,True,Incident & Reliability,Incident & Reliability,True,Detect,Detect,True,True,True,True
01KQ3CE40428CCC5FF433FFC,Detect Outage - Post-Incident Review,Internal,Internal,True,Incident & Reliability,Incident & Reliability,True,Detect,Detect,True,True,True,True
01KQ45F6F7349D0A620571F1,Aegis / Brightpath Commerce - Competitive Evaluation,External customer,External customer,True,Competitive & Market,Competitive & Market,True,Detect,Comply,False,True,True,True
01KQ65D43540846FA994B6C4,Aegis / Frostbyte AI - Product Feedback,External customer,External customer,True,Product Feedback & Roadmap,Product Feedback & Roadmap,True,Identity,Comply,False,False,False,True
01KQ7F58A2E07B857C24624D,Competitive Landscape Review,Internal,Internal,True,Competitive & Market,Competitive & Market,True,Detect,Comply,False,True,True,True
01KQ764171AC27A3A94DC695,Detect Reliability - 30-Day Review,Internal,Internal,True,Incident & Reliability,Incident & Reliability,True,Detect,Detect,True,True,True,True
01KQ92EA85FE4C537400227D,Support Case #8811 - Blackridge Investments Custom Compliance Template,Customer support,Customer support,True,Compliance & Audit,Compliance & Audit,True,Comply,Comply,True,False,False,True
01KQ9772B2348F500FB09D1E,Support Case #3677 - Coastal Living Co MFA Token Failures,Customer support,Customer support,True,Identity & Access,Identity & Access,True,Identity,Identity,True,True,True,True
