query,similarity,meeting_id,title,call_type,theme,products,risk_score,sentiment_score,evidence_quote
Which calls show Detect reliability or outage risk?,0.066,01KQ764171AC27A3A94DC695,Detect Reliability - 30-Day Review,Internal,Incident & Reliability,"Detect, Comply",10,2.8,"Perfect. So, uh, today's agenda — this is officially the 30-day post-incident review for the Detect outage that happened March 10th through the 18th. We want to cover what happened, where we landed with the fixes, and then Diana, I know you"
Which calls show Detect reliability or outage risk?,0.065,01KQ45F6F7349D0A620571F1,Aegis / Brightpath Commerce - Competitive Evaluation,External customer,Competitive & Market,"Comply, Detect, Protect",10,2.6,"Sure. So we've been talking to SentinelShield, we've had a couple of pretty deep demo sessions with them, and their threat monitoring story is — I mean, it's compelling. Especially after, you know, what happened in March."
Which calls show Detect reliability or outage risk?,0.052,01KQ298F2846EFE59B0D70E2,Competitive Threat Assessment - Post Outage,Internal,Competitive & Market,"Detect, Comply",10,2.3,"So we had — ugh — we had a spike of about 340 tickets come in during and immediately after the outage. We've closed most of them, but there are still about 40 open, mostly from customers who want detailed impact reports, like specifically w"
Which calls show Detect reliability or outage risk?,0.047,01KQ3CE40428CCC5FF433FFC,Detect Outage - Post-Incident Review,Internal,Incident & Reliability,Detect,10,2.8,"Okay so — this is the post-incident review for the Detect outage, March 10th through the 18th, well, the outage itself was March 10th, we're just closing it out today."
Which calls show Detect reliability or outage risk?,0.047,01KQ351E141926AB7CAB668D,Aegis / Northstar Pharma - Urgent: Detect Outage Impact,Customer support,Incident & Reliability,"Detect, Comply, Identity",10,2.1,"Those are the immediate priorities, yes. But Maria — I want you to understand where I'm sitting. This isn't just about the outage anymore. It's about whether Aegis Detect is the right platform for us long term. And I'm going to be doing my "
"Where do customers mention renewal risk, pricing, or competitive evaluation?",0.1,01KQ1DCC80852AE384C898C9,Aegis / Quantum Edge - Renewal Concerns,External customer,Renewal & Commercial Risk,"Comply, Detect",10,2.4,"You're right, and I'm not going to sugarcoat it — that was a significant failure on our part, both the outage itself and the communication lag. We should have been proactively reaching out to you within the first hour."
"Where do customers mention renewal risk, pricing, or competitive evaluation?",0.076,01KQ351E141926AB7CAB668D,Aegis / Northstar Pharma - Urgent: Detect Outage Impact,Customer support,Incident & Reliability,"Detect, Comply, Identity",10,2.1,"Those are the immediate priorities, yes. But Maria — I want you to understand where I'm sitting. This isn't just about the outage anymore. It's about whether Aegis Detect is the right platform for us long term. And I'm going to be doing my "
"Where do customers mention renewal risk, pricing, or competitive evaluation?",0.072,01KQ7F58A2E07B857C24624D,Competitive Landscape Review,Internal,Competitive & Market,"Comply, Protect, Detect, Identity",10,3.4,"Right, the platform story. Yeah. Okay so if I'm summarizing — SentinelShield is the most immediate threat in Detect, VaultEdge is one to watch in Protect and potentially Comply, CyberNova is a pricing threat in Identity for mid-market, and "
"Where do customers mention renewal risk, pricing, or competitive evaluation?",0.071,01KQ0F8AFF3DA34FD4580008,Aegis / Cobalt Software - Q2 Planning,External customer,Renewal & Commercial Risk,"Comply, Detect",10,3.4,"Right. And look, I get that outages happen, I've been in infrastructure long enough to know nothing is bulletproof, but six hours is a long time. Our security team was basically flying blind."
"Where do customers mention renewal risk, pricing, or competitive evaluation?",0.068,01KQ45F6F7349D0A620571F1,Aegis / Brightpath Commerce - Competitive Evaluation,External customer,Competitive & Market,"Comply, Detect, Protect",10,2.6,"Sure. So we've been talking to SentinelShield, we've had a couple of pretty deep demo sessions with them, and their threat monitoring story is — I mean, it's compelling. Especially after, you know, what happened in March."
