meeting_id,title,call_type,primary_theme,secondary_theme,products,start_time,duration_minutes,attendee_count,transcript_utterances,sentiment_score,overall_sentiment,transcript_sentiment_score,negative_utterance_share,positive_utterance_share,action_item_count,key_moment_count,risk_score,topics,summary,example_quote
01KQ03B0303900521BB089CA,Detect Outage - Remediation Plan Review,Internal,Incident & Reliability,None,Detect,2026-03-16T09:30:00.000Z,35.2,3,43,2.4,mixed-negative,-0.116,0.116,0.0,4,4,10,"outage remediation, incident response, customer communication, security monitoring, postmortem planning, infrastructure reliability","Megan, Raj, and Brian convened on day three of an ongoing outage affecting the Detect product's event processing pipeline. Raj explained that a single point of failure in the event ingestion layer caused a cascading failure, leaving customers with zero threat monitoring visibility for approximately six hours. The remediation plan includes deploying redundant active-active processing nodes (live by end of day) and implementing a circuit breaker pattern (by Wednesday evening), with full tenant visibility restored in a phased rollout by tomorrow morning. The team aligned on communication protocols, retroactive security analysis, and a postmortem timeline.","As of this morning we're at a hundred and twelve open cases specifically tied to the Detect outage. About thirty of those are priority one or two accounts. We've got a handful of customers that are, uh, pretty vocal about it."
01KQ0C1280EDA4E70AAD7C35,Support Case #9279 - Summit Trust Billing Inquiry,Customer support,Renewal & Commercial Risk,None,Identity,2026-02-06T09:15:00.000Z,23.8,2,39,3.8,mixed-positive,0.026,0.0,0.026,4,4,6,"billing dispute, seat overage, migration cleanup, identity management, billing adjustment, provisioning","Gregory Fisk, IT Director at Summit Trust, called regarding a billing discrepancy on his January invoice showing 1,400 seats for Aegis Identity when their contract specifies 1,200 seats. Sarah Chen investigated and traced the overage to approximately 200 test accounts created during a December migration that were never deprovisioned. Sarah agreed to submit a billing adjustment request to the finance team, which will take 5-7 business days to review. Gregory also received guidance on bulk deprovisioning test accounts and setting up usage threshold alerts to prevent recurrence.","Yeah, that's a fair question. Let me look at the contract record... okay so I'm seeing the renewal executed October 14th, 2025, and the contracted seat count for Aegis Identity is listed as 1,200 seats. So you're correct there."
01KQ0CAE7F064EC93F0540CA,Weekly Engineering Standup,Internal,Product Feedback & Roadmap,None,"Comply, Detect",2026-02-16T10:00:00.000Z,29.0,4,40,3.6,mixed-positive,0.0,0.0,0.0,4,4,7,"pipeline reliability, kafka configuration, sprint planning, comply v2 launch, resource allocation, timeline risk","The engineering team held a sprint status check-in covering the Detect pipeline reliability work and the upcoming Comply v2 launch. Mike Romano reported being 60% through the event ingestion refactor, with the end-of-March deadline assessed at roughly 60-40 odds due to uncertainty around Kafka configuration and redundant node setup. Tyler Washington completed alert deduplication work and will assist by spiking on the Kafka investigation to help reduce risk. Tom Bradley will communicate to product that the March target stands but carries acknowledged technical uncertainty, while Chris Lee continues weekly syncs with Priya's team on the Comply v2 April launch.","Will do. Alright, anything else on Comply before we move on? ... No? Okay. Let me just do a quick check on the sprint board — we've got eight tickets in progress, two in review. The two in review are Tyler's dedup changes — wait, those are "
01KQ0DFE299AC7A74E8022CA,Aegis / Redwood Clinical - ISO 27001 Preparation,External customer,Compliance & Audit,None,Comply,2026-04-26T13:30:00.000Z,28.8,3,39,4.8,very-positive,0.692,0.026,0.718,4,4,7,"iso 27001, compliance reporting, onboarding, healthcare, multi-framework coverage, audit preparation","Daniel Okafor and solutions architect Kevin O'Brien met with Thomas Hargrove of Redwood to introduce Comply v2 and discuss support for their ISO 27001 certification journey. Thomas shared that Redwood is in early stages of ISO prep, with a formal audit targeted for Q1 2027, and highlighted pain points around evidence collection and continuous monitoring. Kevin walked through Comply v2's on-demand reporting engine, which maps live environment data to Annex A controls and supports multi-framework coverage including HIPAA and SOC 2. The team agreed on a clear set of next steps: activating Comply v2 on Redwood's tenant, running a baseline report, and scheduling a technical working session with Thomas and his security analyst Priya.","Oh god, yeah, the last time we went through a HIPAA audit my team spent like three weeks just pulling logs and documentation together — it was a nightmare."
01KQ0F8AFF3DA34FD4580008,Aegis / Cobalt Software - Q2 Planning,External customer,Renewal & Commercial Risk,Product Feedback & Roadmap,Comply,2026-04-11T14:15:00.000Z,41.2,2,42,3.4,mixed-positive,0.071,0.095,0.167,4,4,10,"renewal, outage, competitive threat, compliance, cloud expansion, pricing","Lisa Park (CSM) met with Lauren Bishop to discuss the upcoming June renewal, address the March Detect outage, and review the recently released Comply v2. Lauren was candid about internal concerns raised by the six-hour outage and noted that procurement is requiring at least one competitive quote from SentinelShield. The team is planning to expand their cloud workload footprint by about 40 workloads through Q3, which will factor into renewal pricing options. Lisa committed to sending the post-incident review, preparing two renewal proposal options, and scheduling a compliance walkthrough for June.","Right. And look, I get that outages happen, I've been in infrastructure long enough to know nothing is bulletproof, but six hours is a long time. Our security team was basically flying blind."
01KQ1267C6AA7D9B3125FEC8,SOC 2 Audit Preparation - Internal,Internal,Compliance & Audit,None,"Comply, Detect",2026-02-26T10:15:00.000Z,36.9,5,57,3.4,mixed-positive,-0.07,0.07,0.0,4,4,10,"soc 2 audit, access control, change management, incident tracking, vendor management, security training","Raj Kapoor convened a meeting with Tyler, Ravi, Brian, and Mike to prepare for an upcoming SOC 2 Type II audit with a 90-day observation period starting March 1st. The team reviewed key control areas including access control, change management, incident tracking, monitoring, vendor management, and employee security training. Several gaps were identified, including a broken Zendesk-PagerDuty integration, inconsistent hotfix documentation, alert fatigue in the monitoring system, and incomplete security training completions. Action items were assigned to each team member with tight deadlines before the observation window opens.","Yeah, that's going to be a problem. Auditors will look at commit history and deployment logs and they'll see the timing doesn't line up."
01KQ1A6B7E81B06F4A13B60D,Support Case #6977 - Brightpath Commerce Slow Backup Performance,Customer support,Incident & Reliability,Backup & Recovery,Protect,2026-02-21T11:30:00.000Z,15.8,2,35,2.8,mixed-negative,-0.257,0.371,0.114,4,4,10,"backup performance, agent version update, technical issue, customer retention, notification gap, escalation","Kendra Wallace from a retail company contacted Aegis Cloud Security support regarding severely degraded backup performance, with nightly jobs taking 4-6 hours instead of the usual 90 minutes over the past three weeks. David Kim identified a likely root cause: Kendra's environment is running backup agent version 3.4.1, which has a known change block tracking issue that causes over-scanning, while a fix was released in version 3.6.0 in late January. David acknowledged a process gap in that Kendra was not notified about the update. The resolution plan includes upgrading to 3.6.0 and a follow-up call on Monday, with escalation to senior engineering promised if the issue persists.",Okay. And what if we do the upgrade and it's still slow? Then what?
01KQ1DC6CA536DE1B31ED8F5,Aegis / Atlas Precision - Contract Discussion,External customer,Renewal & Commercial Risk,None,Comply,2026-02-25T15:00:00.000Z,33.5,3,43,3.7,mixed-positive,0.047,0.0,0.047,3,4,6,"renewal, billing dispute, overage charges, compliance, contract negotiation, product add-on","Rachel Torres and Maria Santos from Aegis met with Wayne Keller of Atlas to discuss the upcoming end-of-March contract renewal and billing concerns. Wayne's finance team flagged overage charges on the Aegis Detect module for January and February, which were caused by the addition of two new production facilities expanding event volume beyond the 500 million monthly cap. Rachel proposed upgrading to a 750 million event tier at an additional $310/month, which would likely be more cost-effective than continued overages. Wayne also expressed interest in exploring the Aegis Comply module for SOC 2 reporting, and both sides agreed on an annual renewal with a mid-March internal target deadline.",Good to have you both on. So Rachel mentioned this was around the contract renewal and some billing questions — is that still the main agenda?
01KQ1DCC80852AE384C898C9,Aegis / Quantum Edge - Renewal Concerns,External customer,Renewal & Commercial Risk,None,"Comply, Detect",2026-03-19T16:00:00.000Z,45.0,3,44,2.4,mixed-negative,-0.182,0.341,0.159,4,4,10,"outage, renewal, compliance, competitive evaluation, pricing, sla breach","Maria Santos met with Brianna Foster and Leo Marquez to address a serious six-hour outage on March 10-11 that caused a loss of visibility in Aegis Detect, breaching their 99.5% uptime SLA. The customer expressed eroded confidence in platform reliability and revealed they are actively evaluating a competitor, SentinelShield, which is offering aggressive pricing and a 99.9% SLA. Additional concerns included platform stagnation, upcoming compliance needs (SOC 2, HIPAA), and budget constraints going into renewal. Maria outlined next steps including a renewal proposal with an SLA credit, pricing adjustments, access to the upcoming Comply v2 product, and an engineering call to address Leo's infrastructure concerns.","You're right, and I'm not going to sugarcoat it — that was a significant failure on our part, both the outage itself and the communication lag. We should have been proactively reaching out to you within the first hour."
01KQ1DE954A807A5D2653175,Comply v2 - Launch Readiness Review,Internal,Compliance & Audit,Product Feedback & Roadmap,"Comply, Identity",2026-03-24T14:45:00.000Z,39.3,2,46,3.6,mixed-positive,0.043,0.065,0.109,4,4,10,"launch readiness, compliance reporting, api rate limiting, documentation, incident impact, hipaa","Megan and Chris conducted a launch readiness review for Comply v2, targeting an April 7th release. A recent Detect outage pulled two engineers off the project for four days, causing a 5-6 day slip on the HIPAA and ISO 27001 reporting engine, which has formatting issues in staging. The API is in good shape with beta customers, but customer-facing documentation for HIPAA and ISO 27001 is still in first draft and poses the biggest launch risk. They aligned on key deadlines, escalation paths, and a follow-up check-in for the following Tuesday.","It's, uh, it's probably a five to six day slip on the on-demand reporting engine specifically. The SOC 2 and PCI DSS templates are done, those were finished before the outage. But the HIPAA and ISO 27001 report generation — those are still "
